kanji,joyo_index,radical,strokes,grade,english_meaning,on_kana,kun_kana
里,2037,里,7,2,village,リ,さと
理,2038,玉,11,2,reason,リ,
痢,2039,疒,12,S,diarrhea,リ,
裏,2040,衣,13,6,back,リ,うら
履,2041,尸,15,S,footgear,リ,は-く
璃,2042,玉,14,S,glassy,リ,
離,2043,隹,18,S,detach,リ,はな-れる、はな-す
陸,2044,阜,11,4,land,リク,
立,2045,立,5,1,stand up,リツ、（リュウ）,た-つ、た-てる
律,2046,彳,9,6,law,リツ、（リチ）,
慄,2047,心,13,S,fear,リツ,
略,2048,田,11,5,abbreviation,リャク,
柳,2049,木,9,S,willow,リュウ,やなぎ
流,2050,水,10,3,stream,リュウ、（ル）,なが-れる、なが-す
留,2051,田,10,5,detain,リュウ、（ル）,と-める、と-まる
竜,2052,龍,10,S,dragon,リュウ,たつ
粒,2053,米,11,S,grains,リュウ,つぶ
隆,2054,阜,11,S,hump,リュウ,
硫,2055,石,12,S,sulphur,リュウ,
侶,2056,人,9,S,companion,リョ,
旅,2057,方,10,3,trip,リョ,たび
虜,2058,虍,13,S,captive,リョ,
慮,2059,心,15,S,prudence,リョ,
了,2060,亅,2,S,finish,リョウ,
両,2061,入,6,3,both,リョウ,
良,2062,艮,7,4,good,リョウ,よ-い
料,2063,斗,10,4,fee,リョウ,
涼,2064,水,11,S,refreshing,リョウ,すず-しい、すず-む
猟,2065,犬,11,S,game-hunting,リョウ,
陵,2066,阜,11,S,mausoleum,リョウ,みささぎ
量,2067,里,12,4,quantity,リョウ,はか-る
僚,2068,人,14,S,colleague,リョウ,
領,2069,頁,14,5,territory,リョウ,
寮,2070,宀,15,S,dormitory,リョウ,
療,2071,疒,17,S,heal,リョウ,
瞭,2072,目,17,S,clear,リョウ,
糧,2073,米,18,S,provisions,リョウ、（ロウ）,かて
力,2074,力,2,1,power,リョク、リキ,ちから
緑,2075,糸,14,3,green,リョク、（ロク）,みどり
林,2076,木,8,1,woods,リン,はやし
厘,2077,厂,9,S,thousandth,リン,
倫,2078,人,10,S,ethics,リン,
輪,2079,車,15,4,wheel,リン,わ
隣,2080,阜,16,S,neighboring,リン,とな-る、となり
臨,2081,臣,18,6,look to,リン,のぞ-む
瑠,2082,玉,14,S,lapis lazuli,ル,
涙,2083,水,10,S,tears,ルイ,なみだ
累,2084,糸,11,S,accumulate,ルイ,
塁,2085,土,12,S,bases,ルイ,
類,2086,頁,18,4,sort,ルイ,たぐ-い
令,2087,人,5,4,orders,レイ,
礼,2088,示,5,3,thanks,レイ、ライ,
冷,2089,冫,7,4,cool,レイ,つめ-たい、ひ-える、ひ-や、ひ-やす、ひ-やかす、さ-める、さ-ます
励,2090,力,7,S,encourage,レイ,はげ-む、はげ-ます
戻,2091,戶,7,S,re-,レイ,もど-す、もど-る
例,2092,人,8,4,example,レイ,たと-える
鈴,2093,金,13,S,small bell,レイ、リン,すず
零,2094,雨,13,S,zero,レイ,
霊,2095,雨,15,S,spirits,レイ、リョウ,たま
隷,2096,隶,16,S,slave,レイ,
齢,2097,齒,17,S,age,レイ,
麗,2098,鹿,19,S,lovely,レイ,うるわ-しい
暦,2099,日,14,S,calendar,レキ,こよみ
歴,2100,止,14,5,curriculum,レキ,
列,2101,刀,6,3,row,レツ,
劣,2102,力,6,S,inferiority,レツ,おと-る
烈,2103,火,10,S,ardent,レツ,
裂,2104,衣,12,S,split,レツ,さ-く、さ-ける
恋,2105,心,10,S,romance,レン,こ-う、こい、こい-しい
連,2106,辵,10,4,take along,レン,つら-なる、つら-ねる、つ-れる
廉,2107,广,13,S,bargain,レン,
練,2108,糸,14,3,practice,レン,ね-る
錬,2109,金,16,S,tempering,レン,
呂,2110,口,7,S,spine,ロ,
炉,2111,火,8,S,hearth,ロ,
賂,2112,貝,13,S,bribe,ロ,
路,2113,足,13,3,road,ロ,じ
露,2114,雨,21,S,dew,ロ、（ロウ）,つゆ
老,2115,老,6,4,old man,ロウ,お-いる、ふ-ける
労,2116,力,7,4,labour,ロウ,
弄,2117,廾,7,S,tamper with,ロウ,もてあそ-ぶ
郎,2118,邑,9,S,son,ロウ,
朗,2119,月,10,6,melodious,ロウ,ほが-らか
浪,2120,水,10,S,wandering,ロウ,
廊,2121,广,12,S,corridor,ロウ,
楼,2122,木,13,S,watchtower,ロウ,
漏,2123,水,14,S,leak,ロウ,も-る、も-れる、も-らす
籠,2124,竹,22,S,basket,ロウ,かご、こ-もる
六,2125,八,4,1,six,ロク,む、む-つ、むっ-つ、（むい）
録,2126,金,16,4,record,ロク,
麓,2127,鹿,19,S,foot of a mountain,ロク,ふもと
論,2128,言,15,6,theory,ロン,
和,2129,口,8,3,peace,ワ、（オ）,やわ-らぐ、やわ-らげる、なご-む、なご-やか
話,2130,言,13,2,talk,ワ,はな-す、はなし
賄,2131,貝,13,S,"bribe, board",ワイ,まかな-う
脇,2132,肉,10,S,aside,,わき
惑,2133,心,12,S,beguile,ワク,まど-う
枠,2134,木,8,S,frame,,わく
湾,2135,水,12,S,gulf,ワン,
腕,2136,肉,12,S,arm,ワン,うで
